title,link,image,price,pistol_grip,stripped_lower,stock,buffer_tube_assembly,trigger,stripped_upper,barrel,handguard,gas_tube,gas_block,bolt_carrier_group,charging_handle
BLEM PSA AR-15 Lower Safe/Fire,https://palmettostatearmory.com/black-friday-sales/lowers/pa-15/blem-psa-ar-15-lower-safe-fire.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/1/7/1728_5.jpg,$59.99,False,True,False,False,False,False,False,False,False,False,False,False
PSA AR15 American Flag Engraved Stripped Lower - 7779528,https://palmettostatearmory.com/psa-ar15-american-flag-lower.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/0/4/040717_7779528.jpg,$99.99,False,True,False,False,False,False,False,False,False,False,False,False
"PSA AR-15 ""LIBERTY-15"" Stripped Lower Receiver",https://palmettostatearmory.com/psa-ar-15-liberty-15-stripped-lower-receiver.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/2/2/2242020-liberty-lower.jpg,$144.99,False,True,False,False,False,False,False,False,False,False,False,False
PSA AR-15 Lower Safe/Fire - 1728,https://palmettostatearmory.com/psa-ar-15-lower-safe-fire-1728.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/1/7/1728-4.jpg,$79.99,False,True,False,False,False,False,False,False,False,False,False,False
PSA Gadsden AR-15 Stripped Lower Receiver,https://palmettostatearmory.com/psa-gadsden-ar-15-stripped-lower-receiver.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/g/a/gadsdenlower.jpg,$99.99,False,True,False,False,False,False,False,False,False,False,False,False
"PSA ""Virginia-15"" AR-15 Stripped Lower Receiver",https://palmettostatearmory.com/psa-virginia-15-ar-15-stripped-lower-receiver.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/v/i/virginia-15-f.jpg,$99.99,False,True,False,False,False,False,False,False,False,False,False,False
PSA AR-15 SC Flag Lower - 7779527,https://palmettostatearmory.com/psa-ar15-sc-flag-lower.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/7/7/7779527.jpg,$99.99,False,True,False,False,False,False,False,False,False,False,False,False
Palmetto State Armory Liberty Lower - 1535,https://palmettostatearmory.com/palmetto-state-armory-liberty-lower.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/k/p/kpc_3875.jpg,$99.99,False,True,False,False,False,False,False,False,False,False,False,False
Lead Star Arms Grunt AR-15 Lower Receiver,https://palmettostatearmory.com/lead-star-arms-grunt-ar-15-lower-receiver.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/l/s/lsa-lowgrt15-lead-star-arms-grunt-ar-15-lower-receiver-black_1.jpg,$105.92,False,True,False,False,False,False,False,False,False,False,False,False
Lead Star Arms Skeletonized LSA-15 AR-15 Stripped Lower Receiver,https://palmettostatearmory.com/lead-star-arms-skeletonized-lsa-15-ar-15-stripped-lower-receiver.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/l/s/lsa-skeletonized-lsa-15-ar-15-stripped-lwr-recvr-black-lsa-3167gfs4_2.jpg,$318.51,False,True,False,False,False,False,False,False,False,False,False,False
